,Aerospin,AtmosFear,Balder,Barnens paradis,Blomsterkarusellen,Bushållplatsen,Cyklonen,Drakbåtarna,Farfars Bil,Fisketuren,FlumeRide,Flygande elefanter,Flygis,Hanghai,Helix,Hissningen,Hoppalång,Högspänningen,JukeBox,Kaffekoppen,Kaninlandsbanan,Kaninresan,Kristallsalongen,Kållerado,Lilla Lots,Lisebergbanan,Lisebergshjulet,Loke,Mechanica,Rabalder,Radiobilarna,Skepp o skoj,Slänggungan,Spökhotellet Gasten,Stampbanan,Tuta & Kör,Uppswinget,Valkyria,Virvelvinden
2019-08-30 15:00:04,,10.0,,,,,,,,,,,,10.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-30 15:05:05,,10.0,10.0,10.0,,10.0,,,30.0,,,,10.0,10.0,10.0,40.0,10.0,,30.0,10.0,10.0,,,,,10.0,,10.0,,10.0,,,10.0,,,,,10.0,
2019-08-30 15:10:04,,,10.0,10.0,,10.0,,,30.0,,,,10.0,10.0,10.0,40.0,10.0,,30.0,10.0,10.0,,,,,10.0,,,,10.0,,,10.0,,,,,,
2019-08-30 15:15:04,,,10.0,10.0,,10.0,,,30.0,,,,10.0,10.0,10.0,40.0,10.0,,30.0,10.0,10.0,,,,,10.0,,10.0,,10.0,,,10.0,,,,,,
2019-08-30 15:20:04,,,10.0,10.0,,10.0,,,30.0,,,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,,,,10.0,,10.0,,10.0,,,10.0,,,,,,
2019-08-30 15:25:04,,,10.0,10.0,,10.0,,,30.0,,,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,,,,10.0,,10.0,,10.0,,,10.0,,,,,10.0,
2019-08-30 15:30:05,,,10.0,10.0,,10.0,,,10.0,,,,10.0,10.0,10.0,20.0,10.0,,10.0,10.0,10.0,,,,,10.0,,10.0,,10.0,,,10.0,,,,,10.0,
2019-08-30 15:35:04,,,10.0,10.0,,10.0,,,10.0,,10.0,,10.0,10.0,10.0,20.0,10.0,,10.0,10.0,10.0,,,,,20.0,,10.0,,10.0,,,10.0,,,,,10.0,
2019-08-30 15:40:04,,,10.0,10.0,,10.0,,,10.0,,10.0,,10.0,10.0,30.0,20.0,10.0,,10.0,10.0,10.0,,,,,20.0,,10.0,,10.0,,,10.0,,,,,10.0,
2019-08-30 15:45:04,,,10.0,10.0,,10.0,,,10.0,,10.0,,10.0,10.0,30.0,20.0,10.0,,10.0,10.0,20.0,,,,,20.0,,10.0,,10.0,,,10.0,,,,,10.0,
2019-08-30 15:50:04,,,10.0,10.0,,10.0,,,10.0,,30.0,,10.0,10.0,30.0,20.0,10.0,,10.0,10.0,20.0,,,,,20.0,,10.0,,10.0,,,10.0,,,,,20.0,
2019-08-30 15:55:04,,,20.0,10.0,,10.0,,,20.0,,30.0,,10.0,10.0,30.0,20.0,10.0,,10.0,10.0,20.0,,,,,20.0,,10.0,,10.0,,,10.0,,,,,30.0,
